vehicle_id,travel_sequences,trip_repetitions,total_distance_km,total_operation_time_s,terminal_time_s,stop_time_s,travel_time_s,trip_id
10114111_10,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:45:52', 'offset_from_start': 3000, 'operating': True}, {'start_time': '06:45:52', 'end_time': '08:21:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '08:21:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:45:52', 'offset_from_start': 3000, 'operating': True}, {'start_time': '15:45:52', 'end_time': '17:21:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '17:21:44', 'end_time': '18:57:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:57:36', 'end_time': '20:33:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:33:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785813,183.79373792139197,32400.0,225.3129346314325,8899.860917941527,23274.826147426975,10114111
10114111_11,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:40:52', 'offset_from_start': 3300, 'operating': True}, {'start_time': '06:40:52', 'end_time': '08:16:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '08:16:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:40:52', 'offset_from_start': 3300, 'operating': True}, {'start_time': '15:40:52', 'end_time': '17:16:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '17:16:44', 'end_time': '18:52:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:52:36', 'end_time': '20:28:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:28:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785813,183.79373792139194,32400.0,225.3129346314325,8899.860917941607,23274.826147426993,10114111
10114111_12,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:35:52', 'offset_from_start': 3600, 'operating': True}, {'start_time': '06:35:52', 'end_time': '08:11:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '08:11:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:35:52', 'offset_from_start': 3600, 'operating': True}, {'start_time': '15:35:52', 'end_time': '17:11:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '17:11:44', 'end_time': '18:47:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:47:36', 'end_time': '20:23:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:23:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785813,183.79373792139194,32400.0,225.31293463143254,8899.860917941574,23274.82614742698,10114111
10114111_13,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:30:52', 'offset_from_start': 3900, 'operating': True}, {'start_time': '06:30:52', 'end_time': '08:06:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '08:06:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:30:52', 'offset_from_start': 3900, 'operating': True}, {'start_time': '15:30:52', 'end_time': '17:06:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '17:06:44', 'end_time': '18:42:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:42:36', 'end_time': '20:18:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:18:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785814,183.79373792139197,32400.0,225.31293463143254,8899.860917941653,23274.82614742702,10114111
10114111_14,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:25:52', 'offset_from_start': 4200, 'operating': True}, {'start_time': '06:25:52', 'end_time': '08:01:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '08:01:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:25:52', 'offset_from_start': 4200, 'operating': True}, {'start_time': '15:25:52', 'end_time': '17:01:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '17:01:44', 'end_time': '18:37:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:37:36', 'end_time': '20:13:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:13:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785814,183.79373792139197,32400.0,225.31293463143254,8899.860917941549,23274.82614742697,10114111
10114111_15,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:20:52', 'offset_from_start': 4500, 'operating': True}, {'start_time': '06:20:52', 'end_time': '07:56:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '07:56:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:20:52', 'offset_from_start': 4500, 'operating': True}, {'start_time': '15:20:52', 'end_time': '16:56:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '16:56:44', 'end_time': '18:32:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:32:36', 'end_time': '20:08:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:08:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785813,183.79373792139197,32400.0,225.31293463143254,8899.860917941614,23274.82614742699,10114111
10114111_16,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:15:52', 'offset_from_start': 4800, 'operating': True}, {'start_time': '06:15:52', 'end_time': '07:51:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '07:51:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:15:52', 'offset_from_start': 4800, 'operating': True}, {'start_time': '15:15:52', 'end_time': '16:51:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '16:51:44', 'end_time': '18:27:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:27:36', 'end_time': '20:03:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:03:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785813,183.79373792139194,32400.0,225.31293463143254,8899.860917941556,23274.826147426986,10114111
10114111_17,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:10:52', 'offset_from_start': 5100, 'operating': True}, {'start_time': '06:10:52', 'end_time': '07:46:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '07:46:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:10:52', 'offset_from_start': 5100, 'operating': True}, {'start_time': '15:10:52', 'end_time': '16:46:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '16:46:44', 'end_time': '18:22:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:22:36', 'end_time': '19:58:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '19:58:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785814,183.79373792139194,32400.0,225.31293463143254,8899.860917941613,23274.826147426975,10114111
10114111_18,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '06:05:52', 'offset_from_start': 5400, 'operating': True}, {'start_time': '06:05:52', 'end_time': '07:41:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '07:41:44', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '15:00:00', 'end_time': '15:05:52', 'offset_from_start': 5400, 'operating': True}, {'start_time': '15:05:52', 'end_time': '16:41:44', 'offset_from_start': 0, 'operating': True}, {'start_time': '16:41:44', 'end_time': '18:17:36', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:17:36', 'end_time': '19:53:28', 'offset_from_start': 0, 'operating': True}, {'start_time': '19:53:28', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",5.632823365785813,183.79373792139197,32400.0,225.31293463143254,8899.860917941567,23274.82614742698,10114111
1107D111_0,"[{'start_time': '00:00:00', 'end_time': '06:00:00', 'offset_from_start': 0, 'operating': False}, {'start_time': '06:00:00', 'end_time': '07:01:17', 'offset_from_start': 0, 'operating': True}, {'start_time': '07:01:17', 'end_time': '08:02:34', 'offset_from_start': 0, 'operating': True}, {'start_time': '08:02:34', 'end_time': '09:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '09:00:00', 'end_time': '10:01:17', 'offset_from_start': 0, 'operating': True}, {'start_time': '10:01:17', 'end_time': '11:02:34', 'offset_from_start': 0, 'operating': True}, {'start_time': '11:02:34', 'end_time': '12:03:51', 'offset_from_start': 0, 'operating': True}, {'start_time': '12:03:51', 'end_time': '13:05:08', 'offset_from_start': 0, 'operating': True}, {'start_time': '13:05:08', 'end_time': '14:06:25', 'offset_from_start': 0, 'operating': True}, {'start_time': '14:06:25', 'end_time': '15:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '15:00:00', 'end_time': '16:01:17', 'offset_from_start': 0, 'operating': True}, {'start_time': '16:01:17', 'end_time': '17:02:34', 'offset_from_start': 0, 'operating': True}, {'start_time': '17:02:34', 'end_time': '18:03:51', 'offset_from_start': 0, 'operating': True}, {'start_time': '18:03:51', 'end_time': '19:05:08', 'offset_from_start': 0, 'operating': True}, {'start_time': '19:05:08', 'end_time': '20:06:25', 'offset_from_start': 0, 'operating': True}, {'start_time': '20:06:25', 'end_time': '21:00:00', 'offset_from_start': 0, 'operating': True}, {'start_time': '21:00:00', 'end_time': '23:59:59', 'offset_from_start': 0, 'operating': False}]",14.685885232526514,383.1265449708598,54000.0,587.4354093010606,8811.53113951591,44601.033451183015,1107D111
