status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
travelling,0.2728326902788831,39.0,13.02697513659027,2402.0,"LINESTRING (36.77046714387842 -1.203187546379428, 36.7704570293 -1.2031853199, 36.7681235075 -1.20256304741, 36.76809748956875 -1.202555603390778)",,10114111
at_stop,0.0,20.0,13.02697513659027,2402.0,POINT (36.76809669 -1.202558398),0111A26,10114111
travelling,0.21932467888705462,33.0,13.246299815477325,2455.0,"LINESTRING (36.76809748956875 -1.202555603390778, 36.76620192778719 -1.2020132621030046)",,10114111
at_stop,0.0,20.0,13.246299815477325,2455.0,POINT (36.7662 -1.20202),0101KTO,10114111
travelling,0.40870597132952,54.0,13.655005786806845,2529.0,"LINESTRING (36.76620192778719 -1.2020132621030046, 36.766192317 -1.20201051235, 36.76267445445883 -1.200985581237303)",,10114111
at_stop,0.0,20.0,13.655005786806845,2529.0,POINT (36.76265985 -1.201035708),0111IME,10114111
travelling,0.2416176460942318,36.0,13.896623432901077,2585.0,"LINESTRING (36.76267445445883 -1.200985581237303, 36.7626571655 -1.20098054409, 36.7606025934 -1.20041191578, 36.760581441127904 -1.2004053542587774)",,10114111
at_stop,0.0,20.0,13.896623432901077,2585.0,POINT (36.76058 -1.20041),0101GRJ,10114111
travelling,0.3062545972164537,43.0,14.20287803011753,2648.0,"LINESTRING (36.760581441127904 -1.2004053542587774, 36.7579740286 -1.19959652424, 36.75795358312038 -1.1995852867914114)",,10114111
at_stop,0.0,20.0,14.20287803011753,2648.0,POINT (36.75794 -1.19961),0101RMY,10114111
travelling,0.22504224516171983,34.0,14.42792027527925,2702.0,"LINESTRING (36.75795358312038 -1.1995852867914114, 36.756916 -1.199015, 36.7562037706 -1.19859874249, 36.756190704071884 -1.198589050760254)",,10114111
at_stop,0.0,20.0,14.42792027527925,2702.0,POINT (36.75619 -1.19859),0111AMB,10114111
travelling,0.10862287054303081,21.0,14.53654314582228,2743.0,"LINESTRING (36.756190704071884 -1.198589050760254, 36.75540500850818 -1.1980062831729934)",,10114111
at_stop,0.0,20.0,14.53654314582228,2743.0,POINT (36.75538 -1.19804),0101AME,10114111
travelling,0.3342313135024327,46.0,14.870774459324712,2809.0,"LINESTRING (36.75540500850818 -1.1980062831729934, 36.7553937435 -1.19799792767, 36.7546722844 -1.19746961032, 36.752949418612396 -1.1962665123165244)",,10114111
at_stop,0.0,20.0,14.870774459324712,2809.0,POINT (36.75294 -1.19628),0101CHC,10114111
travelling,0.050884652925669065,15.0,14.921659112250381,2844.0,"LINESTRING (36.752949418612396 -1.1962665123165244, 36.7529475689 -1.19626522064, 36.75259039822507 -1.1959815850873203)",,10114111
at_stop,0.0,20.0,14.921659112250381,2844.0,POINT (36.75258547 -1.195987791),0111LIS,10114111
travelling,0.11342313343043878,22.0,15.03508224568082,2886.0,"LINESTRING (36.75259039822507 -1.1959815850873203, 36.7525827885 -1.19597554207, 36.75177025745985 -1.1953726964668214)",,10114111
at_stop,0.0,20.0,15.03508224568082,2886.0,POINT (36.75175 -1.1954),0101FRK,10114111
travelling,0.29215285252698137,41.0,15.327235098207803,2947.0,"LINESTRING (36.75177025745985 -1.1953726964668214, 36.7517513037 -1.195358634, 36.74963263709898 -1.1938391862691837)",,10114111
at_stop,0.0,20.0,15.327235098207803,2947.0,POINT (36.74959213 -1.193895668),0111HDE,10114111
travelling,0.11184479682822447,22.0,15.439079895036027,2989.0,"LINESTRING (36.74963263709898 -1.1938391862691837, 36.7496269941 -1.19383513927, 36.749407053 -1.19368493557, 36.74875773494059 -1.1933443097068328)",,10114111
