time_h,depot,stop,terminal
0.0,429.0,0.0,0.0
0.001388888888888889,429.0,0.0,0.0
0.002777777777777778,429.0,0.0,0.0
0.004166666666666667,429.0,0.0,0.0
0.005555555555555556,429.0,0.0,0.0
0.006944444444444444,429.0,0.0,0.0
0.008333333333333333,429.0,0.0,0.0
0.009722222222222222,429.0,0.0,0.0
0.011111111111111112,429.0,0.0,0.0
0.0125,429.0,0.0,0.0
0.013888888888888888,429.0,0.0,0.0
0.015277777777777777,429.0,0.0,0.0
0.016666666666666666,429.0,0.0,0.0
0.018055555555555554,429.0,0.0,0.0
0.019444444444444445,429.0,0.0,0.0
0.020833333333333332,429.0,0.0,0.0
0.022222222222222223,429.0,0.0,0.0
0.02361111111111111,429.0,0.0,0.0
0.025,429.0,0.0,0.0
0.02638888888888889,429.0,0.0,0.0
0.027777777777777776,429.0,0.0,0.0
0.029166666666666667,429.0,0.0,0.0
0.030555555555555555,429.0,0.0,0.0
0.03194444444444444,429.0,0.0,0.0
0.03333333333333333,429.0,0.0,0.0
0.034722222222222224,429.0,0.0,0.0
0.03611111111111111,429.0,0.0,0.0
0.0375,429.0,0.0,0.0
0.03888888888888889,429.0,0.0,0.0
0.04027777777777778,429.0,0.0,0.0
0.041666666666666664,429.0,0.0,0.0
0.043055555555555555,429.0,0.0,0.0
0.044444444444444446,429.0,0.0,0.0
0.04583333333333333,429.0,0.0,0.0
0.04722222222222222,429.0,0.0,0.0
0.04861111111111111,429.0,0.0,0.0
0.05,429.0,0.0,0.0
0.05138888888888889,429.0,0.0,0.0
0.05277777777777778,429.0,0.0,0.0
0.05416666666666667,429.0,0.0,0.0
0.05555555555555555,429.0,0.0,0.0
0.05694444444444444,429.0,0.0,0.0
0.058333333333333334,429.0,0.0,0.0
0.059722222222222225,429.0,0.0,0.0
0.06111111111111111,429.0,0.0,0.0
0.0625,429.0,0.0,0.0
0.06388888888888888,429.0,0.0,0.0
0.06527777777777778,429.0,0.0,0.0
0.06666666666666667,429.0,0.0,0.0
0.06805555555555555,429.0,0.0,0.0
0.06944444444444445,429.0,0.0,0.0
0.07083333333333333,429.0,0.0,0.0
0.07222222222222222,429.0,0.0,0.0
0.07361111111111111,429.0,0.0,0.0
0.075,429.0,0.0,0.0
0.0763888888888889,429.0,0.0,0.0
0.07777777777777778,429.0,0.0,0.0
0.07916666666666666,429.0,0.0,0.0
0.08055555555555556,429.0,0.0,0.0
0.08194444444444444,429.0,0.0,0.0
0.08333333333333333,429.0,0.0,0.0
0.08472222222222223,429.0,0.0,0.0
0.08611111111111111,429.0,0.0,0.0
0.0875,429.0,0.0,0.0
0.08888888888888889,429.0,0.0,0.0
0.09027777777777778,429.0,0.0,0.0
0.09166666666666666,429.0,0.0,0.0
0.09305555555555556,429.0,0.0,0.0
0.09444444444444444,429.0,0.0,0.0
0.09583333333333334,429.0,0.0,0.0
0.09722222222222222,429.0,0.0,0.0
0.09861111111111111,429.0,0.0,0.0
0.1,429.0,0.0,0.0
0.10138888888888889,429.0,0.0,0.0
0.10277777777777777,429.0,0.0,0.0
0.10416666666666667,429.0,0.0,0.0
0.10555555555555556,429.0,0.0,0.0
0.10694444444444444,429.0,0.0,0.0
0.10833333333333334,429.0,0.0,0.0
0.10972222222222222,429.0,0.0,0.0
0.1111111111111111,429.0,0.0,0.0
0.1125,429.0,0.0,0.0
0.11388888888888889,429.0,0.0,0.0
0.11527777777777778,429.0,0.0,0.0
0.11666666666666667,429.0,0.0,0.0
0.11805555555555555,429.0,0.0,0.0
0.11944444444444445,429.0,0.0,0.0
0.12083333333333333,429.0,0.0,0.0
0.12222222222222222,429.0,0.0,0.0
0.12361111111111112,429.0,0.0,0.0
0.125,429.0,0.0,0.0
0.12638888888888888,429.0,0.0,0.0
0.12777777777777777,429.0,0.0,0.0
0.12916666666666668,429.0,0.0,0.0
0.13055555555555556,429.0,0.0,0.0
0.13194444444444445,429.0,0.0,0.0
0.13333333333333333,429.0,0.0,0.0
0.13472222222222222,429.0,0.0,0.0
0.1361111111111111,429.0,0.0,0.0
0.1375,429.0,0.0,0.0
0.1388888888888889,429.0,0.0,0.0
0.14027777777777778,429.0,0.0,0.0
0.14166666666666666,429.0,0.0,0.0
0.14305555555555555,429.0,0.0,0.0
0.14444444444444443,429.0,0.0,0.0
0.14583333333333334,429.0,0.0,0.0
0.14722222222222223,429.0,0.0,0.0
0.1486111111111111,429.0,0.0,0.0
0.15,429.0,0.0,0.0
0.15138888888888888,429.0,0.0,0.0
0.1527777777777778,429.0,0.0,0.0
