,Day,PV Production (MWh),EV Demand (MWh),Spearman Coefficient,P-Value,Energy Coverage Ratio,Self Sufficiency Ratio,Self Consumption Ratio,Excess PV Ratio
0,1901-01-01,49.19746808472394,3.1663538466443932,-0.7484548714933106,3.5314528141768255e-19,15.53757743685594,0.0,0.0,1.0
1,1901-01-02,39.467328349583326,3.1663538466443932,-0.7484548714933106,3.5314528141768255e-19,12.464598165934492,0.0,0.0,1.0
2,1901-01-03,37.27528454426854,3.1663538466443932,-0.7484548714933106,3.5314528141768255e-19,11.772305418035247,0.0,0.0,1.0
