vehicle_id,charging_sequence,charging_need_kWh,remaining_need_kWh,min_capacity_kWh
1107D110_12,"[{'start_time': '00:00:00', 'end_time': '04:42:58', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 51.880226260260756}, {'start_time': '21:01:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 32.813611111111115}]",84.69383737137187,0.0,84.69383737137187
10114111_0,"[{'start_time': '00:00:00', 'end_time': '05:17:00', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 58.11666666666667}, {'start_time': '21:43:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 25.11361111111111}]",115.48078582857123,32.25050805079346,115.48078582857117
10114111_1,"[{'start_time': '00:00:00', 'end_time': '05:26:00', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 59.766666666666666}, {'start_time': '21:34:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 26.763611111111114}]",116.25165205017228,29.7213742723945,116.25165205017225
10114111_2,"[{'start_time': '00:00:00', 'end_time': '05:50:00', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 64.16666666666666}, {'start_time': '21:10:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 31.163611111111113}]",117.50237811068442,22.172100332906652,117.5023781106844
10114111_3,"[{'start_time': '00:00:00', 'end_time': '05:53:00', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 64.71666666666667}, {'start_time': '21:07:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 31.71361111111111}]",117.71567129207737,21.2853935142996,117.71567129207737
10114111_4,"[{'start_time': '00:00:00', 'end_time': '05:29:00', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 60.31666666666667}, {'start_time': '21:31:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 27.31361111111111}]",118.06994575528014,30.439667977502367,118.06994575528013
10114111_5,"[{'start_time': '00:00:00', 'end_time': '05:09:00', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 56.650000000000006}, {'start_time': '21:51:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 23.646944444444443}]",118.13280417820408,37.835859733759634,118.13280417820408
10114111_6,"[{'start_time': '00:00:00', 'end_time': '03:44:24', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 41.1416167739785}, {'start_time': '21:21:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 29.146944444444443}]",70.28856121842294,0.0,70.28856121842294
10114111_7,"[{'start_time': '00:00:00', 'end_time': '03:44:31', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 41.16409406177322}, {'start_time': '21:18:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 29.696944444444448}]",70.86103850621767,0.0,70.86103850621767
10114111_8,"[{'start_time': '00:00:00', 'end_time': '04:07:21', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 45.34815626119162}, {'start_time': '21:36:00', 'end_time': '23:59:59', 'location': 'depot', 'power': 11, 'energy_charged_kWh': 26.396944444444443}]",71.74510070563606,0.0,71.74510070563606
