status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
at_terminal,0.0,50.177972523,0.0,0.0,POINT (36.78602 -1.20722),0100RBJ,1011F110
travelling,0.278278065869524,39.99999999999999,0.278278065869524,90.177972523,"LINESTRING (36.78602008298463 -1.2072198511353898, 36.7864455 -1.207457, 36.786648 -1.207584, 36.787056 -1.20794, 36.787945781367554 -1.208802755048106)",,1011F110
at_stop,0.0,20.0,0.278278065869524,90.177972523,POINT (36.78782701 -1.208925247),0100DPA,1011F110
travelling,0.252507942599154,37.0,0.530786008468678,147.177972523,"LINESTRING (36.787945781367554 -1.208802755048106, 36.7879503965 -1.20880723, 36.7886767449 -1.20951225058, 36.7891520262 -1.21001422405, 36.7895436287 -1.21035218239, 36.789579088518636 -1.2103855887760413)",,1011F110
at_stop,0.0,20.0,0.530786008468678,147.177972523,POINT (36.78958386 -1.210380524),0110BDO,1011F110
travelling,0.0936214617733188,20.0,0.6244074702419967,187.177972523,"LINESTRING (36.789579088518636 -1.2103855887760413, 36.79019323757549 -1.2109641732491074)",,1011F110
at_stop,0.0,20.0,0.6244074702419967,187.177972523,POINT (36.79020882 -1.210947633),0100MRC,1011F110
travelling,0.6502918162734681,80.0,1.2746992865154647,287.177972523,"LINESTRING (36.79019323757549 -1.2109641732491074, 36.79147 -1.212167, 36.791901 -1.212546, 36.7927086353 -1.21309876442, 36.794483 -1.214238, 36.79483464989631 -1.2145051238611029)",,1011F110
at_stop,0.0,20.0,1.2746992865154647,287.177972523,POINT (36.79485977 -1.214472055),0110RRS,1011F110
travelling,0.5396826154275186,68.0,1.8143819019429834,375.177972523,"LINESTRING (36.79483464989631 -1.2145051238611029, 36.7948758602 -1.21453642845, 36.7965441942 -1.21534109116, 36.796887517 -1.21548056602, 36.7980569601 -1.2157702446, 36.7982554436 -1.21583461761, 36.7986685038 -1.21603310108, 36.79921031 -1.21634960175, 36.79927632361903 -1.2163955190280435)",,1011F110
at_stop,0.0,20.0,1.8143819019429834,375.177972523,POINT (36.79927468 -1.216397882),0100RRP,1011F110
travelling,0.3912200247391598,51.0,2.205601926682143,446.177972523,"LINESTRING (36.79927632361903 -1.2163955190280435, 36.7996925 -1.216685, 36.8002080917 -1.21701478958, 36.800919 -1.21748, 36.801418 -1.21795, 36.8016028404 -1.21818959713, 36.801762 -1.218589, 36.801794572281096 -1.2187240745673829)",,1011F110
at_stop,0.0,20.0,2.205601926682143,446.177972523,POINT (36.80177 -1.21873),0100RES,1011F110
travelling,0.24803134790963546,36.0,2.4536332745917786,502.177972523,"LINESTRING (36.801794572281096 -1.2187240745673829, 36.8018066883 -1.2187743187, 36.801842 -1.219152, 36.801828146 -1.21944487095, 36.801763773 -1.21979355812, 36.8016145 -1.2202835, 36.801464 -1.22073, 36.801418022133056 -1.2209041991957081)",,1011F110
at_stop,0.0,20.0,2.4536332745917786,502.177972523,POINT (36.80144 -1.22091),0100RKH,1011F110
travelling,1.20702901838523,124.0,3.6606622929770083,646.177972523,"LINESTRING (36.801418022133056 -1.2209041991957081, 36.8013614416 -1.22111856937, 36.8013238907 -1.22151017189, 36.8013775349 -1.2218105793, 36.8015062809 -1.22214853764, 36.8017047644 -1.22245430946, 36.8019676208 -1.2227922678, 36.8022358418 -1.22297465801, 36.80283 -1.223314, 36.8035072088 -1.22362375259, 36.803879 -1.223886, 36.8040543795 -1.22408509254, 36.8043226004 -1.22455179691, 36.8049824238 -1.22631669044, 36.8050575256 -1.2267190218, 36.8050038815 -1.22716426849, 36.8048107624 -1.22775435448, 36.8043977022 -1.22880578041, 36.8039569833501 -1.2300482889659756)",,1011F110
at_stop,0.0,20.0,3.6606622929770083,646.177972523,POINT (36.80399 -1.23006),0110VMT,1011F110
travelling,0.45869216236159377,57.0,4.119354455338602,723.177972523,"LINESTRING (36.8039569833501 -1.2300482889659756, 36.8039524555 -1.23006105423, 36.8034160137 -1.23140215874, 36.8032228947 -1.23193860054, 36.8030619621 -1.23252332211, 36.8030512333 -1.23283982277, 36.8031209707 -1.23327434063, 36.803394556 -1.23394489288, 36.80340717037495 -1.2339720137761507)",,1011F110
at_stop,0.0,20.0,4.119354455338602,723.177972523,POINT (36.80339 -1.23398),0100RRJ,1011F110
travelling,0.8705699062605124,103.0,4.9899243615991145,846.177972523,"LINESTRING (36.80340717037495 -1.2339720137761507, 36.8036091328 -1.23440623283, 36.803909 -1.234813, 36.8043762445 -1.23516261578, 36.8095958233 -1.23782873154, 36.809872 -1.237996, 36.809942686481826 -1.2380433116197913)",,1011F110
at_stop,0.0,20.0,4.9899243615991145,846.177972523,POINT (36.80994987 -1.238032579),0110UNA,1011F110
travelling,0.1953234040065807,31.0,5.185247765605695,897.177972523,"LINESTRING (36.809942686481826 -1.2380433116197913, 36.810501 -1.238417, 36.81134663383175 -1.2391004737498619)",,1011F110
at_stop,0.0,20.0,5.185247765605695,897.177972523,POINT (36.81125343 -1.239215791),0110LIG,1011F110
travelling,1.2222079716954573,138.0000000000001,6.407455737301152,1055.177972523,"LINESTRING (36.81134663383175 -1.2391004737498619, 36.8113660812 -1.23911619186, 36.812305 -1.239809, 36.81321 -1.240624, 36.8133616447 -1.24090254307, 36.8134850264 -1.24125123024, 36.8139410019 -1.24360620975, 36.8140804768 -1.24390661716, 36.814686656 -1.24465763569, 36.8149763346 -1.24514043331, 36.8159848452 -1.24775290489, 36.8162369728 -1.24810159206, 36.8165051937 -1.24834835529, 36.816574845465375 -1.2483947898013577)",,1011F110
at_stop,0.0,20.0,6.407455737301152,1055.177972523,POINT (36.81659102 -1.248370528),0110FSA,1011F110
travelling,0.7848273714278297,57.0,7.192283108728982,1132.177972523,"LINESTRING (36.816574845465375 -1.2483947898013577, 36.816714406 -1.24848783016, 36.8169236183 -1.2485897541, 36.8171489239 -1.24863266945, 36.8174815178 -1.24867022038, 36.8180179596 -1.24879360199, 36.8185973167 -1.24899744987, 36.8195843697 -1.24917984009, 36.820769906 -1.24950170517, 36.8210864067 -1.2496304512, 36.8212902546 -1.24981820583, 36.8214029074 -1.24997913837, 36.8214511871 -1.2500756979, 36.8214404583 -1.25016689301, 36.8213653564 -1.25023126602, 36.8212580681 -1.25023663044, 36.8212044239 -1.25019907951, 36.8210703135 -1.25026345253, 36.8203300238 -1.25043511391, 36.8199330568 -1.25048875809, 36.819835890333174 -1.2505145369453015)",,1011F110
at_stop,0.0,20.0,7.192283108728982,1132.177972523,POINT (36.81984186 -1.250537038),0110MTS,1011F110
travelling,1.611936004380429,133.0,8.804219113109411,1285.177972523,"LINESTRING (36.819835890333174 -1.2505145369453015, 36.8196702003 -1.25055849552, 36.8190801144 -1.25083208084, 36.8186855 -1.251007, 36.8178248405 -1.2514436245, 36.8177068233 -1.25155091286, 36.8176692724 -1.25168502331, 36.817677 -1.251853, 36.817728281 -1.25201225281, 36.8178141117 -1.25208199024, 36.8180125952 -1.25212490559, 36.8187475204 -1.25212490559, 36.8192142248 -1.25202298164, 36.819396615 -1.25201761723, 36.819857955 -1.25217318535, 36.8206787109 -1.25282764435, 36.8211561441 -1.25308513641, 36.821369 -1.253137, 36.823364 -1.254578, 36.823769 -1.254792, 36.8240207434 -1.2549251318, 36.8242889643 -1.25501096249, 36.8248146772 -1.2551343441, 36.8251365423 -1.25524163246, 36.825836 -1.255678, 36.8260216713 -1.25594973564, 36.826275 -1.256637, 36.8269228935 -1.25785946846, 36.82693541715307 -1.2578765126122227)",,1011F110
at_stop,0.0,20.0,8.804219113109411,1285.177972523,POINT (36.82689607 -1.257905424),0110BLV,1011F110
travelling,0.187750112099569,28.0,8.99196922520898,1333.177972523,"LINESTRING (36.82693541715307 -1.2578765126122227, 36.827118 -1.258125, 36.827156 -1.258286, 36.827131 -1.2584145, 36.8267512321 -1.25935077667, 36.82671871109996 -1.2594250575963895)",,1011F110
at_stop,0.0,20.0,8.99196922520898,1333.177972523,POINT (36.82673 -1.25943),0100TCP,1011F110
travelling,0.2603722112557136,38.0,9.252341436464693,1391.177972523,"LINESTRING (36.82671871109996 -1.2594250575963895, 36.8258070946 -1.26150727272, 36.82577240460263 -1.2615784784990884)",,1011F110
at_stop,0.0,20.0,9.252341436464693,1391.177972523,POINT (36.8257615 -1.261573166),0110MYA,1011F110
travelling,0.19833357088280507,31.0,9.450675007347499,1442.177972523,"LINESTRING (36.82577240460263 -1.2615784784990884, 36.824991703 -1.26318097115, 36.82498806622584 -1.2631890681190137)",,1011F110
at_stop,0.0,20.0,9.450675007347499,1442.177972523,POINT (36.82507753 -1.263229251),0110TPA,1011F110
travelling,0.12092432468500358,23.0,9.571599332032502,1485.177972523,"LINESTRING (36.82498806622584 -1.2631890681190137, 36.82454048472517 -1.2641855703436464)",,1011F110
at_stop,0.0,20.0,9.571599332032502,1485.177972523,POINT (36.82468057 -1.26424849),0110YIL,1011F110
travelling,0.2886571705586492,41.0,9.86025650259115,1546.177972523,"LINESTRING (36.82454048472517 -1.2641855703436464, 36.8244230747 -1.2644469738, 36.8240529299 -1.26520335674, 36.8232214451 -1.26642107964, 36.82321972285622 -1.2664234243814863)",,1011F110
at_stop,0.0,20.0,9.86025650259115,1546.177972523,POINT (36.82319462 -1.266404986),0110AGK,1011F110
travelling,0.28909036140940453,41.0,10.149346864000556,1607.177972523,"LINESTRING (36.82321972285622 -1.2664234243814863, 36.8227761984 -1.26702725887, 36.8224596977 -1.26730620861, 36.821331 -1.268097, 36.821331 -1.268097, 36.821289681800984 -1.268134382356768)",,1011F110
at_stop,0.0,20.0,10.149346864000556,1607.177972523,POINT (36.82123929 -1.268078685),0110ROA,1011F110
travelling,0.20738556474186978,31.0,10.356732428742426,1658.177972523,"LINESTRING (36.821289681800984 -1.268134382356768, 36.8211615086 -1.26825034618, 36.8209415674 -1.26848101616, 36.8207323551 -1.26876533031, 36.8205606937 -1.26915156841, 36.8205231428 -1.26937687397, 36.82051241 -1.269682646, 36.82051377590526 -1.2697536468152044)",,1011F110
at_stop,0.0,20.0,10.356732428742426,1658.177972523,POINT (36.82057947 -1.269752383),0110TAA,1011F110
travelling,0.3602815469859252,46.0,10.717013975728351,1724.177972523,"LINESTRING (36.82051377590526 -1.2697536468152044, 36.8205231428 -1.27024054527, 36.8205553293 -1.27040684223, 36.8206465244 -1.27050340176, 36.82153165 -1.271173954, 36.8218159676 -1.27141535282, 36.8219929934 -1.27162456512, 36.82229877 -1.272085905, 36.822369421367554 -1.2722177954378984)",,1011F110
at_stop,0.0,20.0,10.717013975728351,1724.177972523,POINT (36.82239532 -1.272203922),0100RGH,1011F110
travelling,0.2384558233820897,38.0,10.95546979911044,1782.177972523,"LINESTRING (36.822369421367554 -1.2722177954378984, 36.8223792315 -1.27223610878, 36.82262599 -1.272654533, 36.82297468 -1.273190975, 36.8231678009 -1.27345919609, 36.823387742 -1.27368986607, 36.8235057592 -1.27390444279, 36.8234413862 -1.27399563789)",,1011F110
at_stop,0.0,20.0,10.95546979911044,1782.177972523,POINT (36.82365865 -1.274190277),0110IRT,1011F110
travelling,2.132993801587622,115.0,13.088463600698063,1917.177972523,"LINESTRING (36.8234413862 -1.27399563789, 36.8233823776 -1.27403855324, 36.8232750893 -1.27403318882, 36.8232268095 -1.27386152744, 36.822411418 -1.27365767956, 36.8215692043 -1.27299785614, 36.8210327625 -1.27255797386, 36.8202388287 -1.27363085747, 36.8196702003 -1.27433896065, 36.81904256 -1.274001002, 36.81843102 -1.274794936, 36.81827009 -1.275047064, 36.8190372 -1.275781989, 36.81970239 -1.276441813, 36.82014763 -1.276844144, 36.82068408 -1.277208924, 36.82122052 -1.277455688, 36.8216121197 -1.27770781517, 36.8217033148 -1.27782046795, 36.8217515945 -1.27799212933, 36.8218535185 -1.27812087536, 36.8219822645 -1.27835154533, 36.8220305443 -1.27864658833, 36.8220090866 -1.27886652946, 36.8219286203 -1.27904891968, 36.82153165 -1.279472709, 36.821397543 -1.27967655659, 36.8213760853 -1.27980530262, 36.8213814497 -1.27992868423, 36.8215477467 -1.2802451849, 36.8217247725 -1.28042757511, 36.8222397566 -1.28088891506, 36.8222934008 -1.28098011017, 36.8224972486 -1.2810498476, 36.8226850033 -1.28111958504, 36.8229156733 -1.28129124641, 36.8229693174 -1.28144145012, 36.8229317665 -1.28159165382, 36.82278156 -1.281704307, 36.822835207 -1.28178477287, 36.8240690231 -1.28278791904, 36.824567914 -1.2831902504, 36.82469666 -1.28302395344)",,1011F110
at_terminal,0.0,50.17797252299988,13.088463600698063,1917.177972523,POINT (36.82492197 -1.282830834),0212SNT,1011F110
at_terminal,0.0,47.181772952,0.0,0.0,POINT (36.95931673 -1.147668958),0213MRY,1107D110
travelling,1.6312540476045092,139.0,1.6312540476045092,186.18177295200002,"LINESTRING (36.95934589759823 -1.1475474263558056, 36.9594722986 -1.1475777626, 36.9595366716 -1.14784598351, 36.9591718912 -1.14794790745, 36.9592899084 -1.14837706089, 36.960327 -1.148151, 36.960327 -1.148151, 36.960423 -1.148097, 36.960537 -1.148134, 36.96059 -1.148229, 36.960567 -1.148336, 36.960464 -1.148395, 36.960365 -1.148371, 36.958633 -1.148734, 36.957706 -1.148662, 36.9512915611 -1.14993810654, 36.950712204 -1.1499273777, 36.9492208958 -1.14972352982, 36.94884179839242 -1.1496801391521747)",,1107D110
at_stop,0.0,20.0,1.6312540476045092,186.18177295200002,POINT (36.94882929 -1.149789423),0100OOA,1107D110
travelling,0.1593330121720097,27.0,1.790587059776519,233.18177295200002,"LINESTRING (36.94884179839242 -1.1496801391521747, 36.947439909 -1.14951968193, 36.94741938564766 -1.1495171678040037)",,1107D110
at_stop,0.0,20.0,1.790587059776519,233.18177295200002,POINT (36.94740772 -1.149612397),0100AWA,1107D110
travelling,0.2164458810252891,32.00000000000003,2.007032940801808,285.1817729520001,"LINESTRING (36.94741938564766 -1.1495171678040037, 36.946667 -1.149425, 36.946251 -1.14943, 36.9455516338 -1.14962697029, 36.94550933376681 -1.1496410703013502)",,1107D110
at_stop,0.0,20.0,2.007032940801808,285.1817729520001,POINT (36.94552481 -1.149687499),0100TPS,1107D110
travelling,0.34283783798650436,47.0,2.3498707787883126,352.1817729520001,"LINESTRING (36.94550933376681 -1.1496410703013502, 36.9425904751 -1.15061402321, 36.942585019201964 -1.1506154026465047)",,1107D110
at_stop,0.0,20.0,2.3498707787883126,352.1817729520001,POINT (36.94259048 -1.150637001),0100OTN,1107D110
