shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1107D110,-1.207921,36.796944,136
1107D110,-1.207609,36.79649,137
1107D110,-1.20729982853,36.7953640223,138
1107D110,-1.20704233646,36.7942160368,139
1107D110,-1.20681166649,36.7929768562,140
1107D110,-1.20653808117,36.7917752266,141
1107D110,-1.20636105537,36.7912387848,142
1107D110,-1.20617330074,36.7907130718,143
1107D110,-1.20550274849,36.7894846201,144
1107D110,-1.20503604412,36.7884814739,145
1107D110,-1.20484292507,36.7879933119,146
1107D110,-1.20469272137,36.7874729633,147
1107D110,-1.20448350906,36.7865180969,148
1107D110,-1.20441913605,36.7858958244,149
1107D110,-1.20442450047,36.785466671,150
1107D110,-1.20440840721,36.7847371101,151
1107D110,-1.20449960232,36.7837607861,152
1107D110,-1.20476782322,36.7825376987,153
1107D110,-1.20517015457,36.7810463905,154
1107D110,-1.20533108711,36.7801988125,155
1107D110,-1.20542764664,36.7800539732,156
1107D110,-1.20558857918,36.7799735069,157
1107D110,-1.20581388474,36.7800056934,158
1107D110,-1.20599091053,36.780102253,159
1107D110,-1.20611965656,36.7802900076,160
1107D110,-1.20665073395,36.7823445797,161
1107D110,-1.20676338673,36.7835301161,162
1107D110,-1.20681166649,36.7844259739,163
1107D110,-1.20686531067,36.7849087715,164
1107D110,-1.20696187019,36.7853271961,165
1107D110,-1.2071366942148098,36.7858530801747,166
1107D111,-1.207140315889919,36.78585211240547,0
1107D111,-1.20708525181,36.7856919765,1
1107D111,-1.20691359043,36.7853164673,2
1107D111,-1.20676875114,36.7845869064,3
1107D111,-1.20668292046,36.7833316326,4
1107D111,-1.20650053024,36.7821460962,5
1107D111,-1.20628595352,36.7810302973,6
1107D111,-1.20606601238,36.7803812027,7
1107D111,-1.20589971542,36.7798179388,8
1107D111,-1.20576024055,36.7793619633,9
1107D111,-1.2056851387,36.7793029547,10
1107D111,-1.205534935,36.7792654037,11
1107D111,-1.20541155338,36.7793405056,12
1107D111,-1.20530426502,36.779447794,13
1107D111,-1.20530426502,36.779871583,14
1107D111,-1.20520234108,36.7803704739,15
1107D111,-1.2049716711,36.7813682556,16
